cell_id,B_arietans,B_albanica,B_atropos,B_armata,B_caudalis,B_cornuta,B_inornata,B_gabonica,B_rubida,B_schneideri,B_xeropaga,C_defillippi
83,10,0,0,6,0,0,0,0,0,0,0,0
84,30,0,0,8,0,0,0,0,0,0,0,0
85,7,0,0,1,0,0,0,0,0,0,0,0
149,29,0,6,0,0,0,0,0,0,0,0,0
150,17,0,32,3,0,0,0,0,0,0,0,0
151,5,0,6,3,0,0,0,0,0,0,0,0
152,6,0,1,1,0,0,0,0,0,0,0,0
154,15,0,0,2,0,0,0,0,0,0,0,0
155,19,0,0,4,0,0,0,0,0,0,0,0
156,7,0,0,0,0,0,0,0,0,0,0,0
157,7,0,0,0,0,0,0,0,0,0,0,0
158,13,0,0,0,0,0,0,0,0,0,0,0
214,227,0,8,0,0,0,0,0,0,0,0,0
216,45,0,41,0,0,0,0,0,0,0,0,0
217,9,0,15,0,0,0,0,0,0,0,0,0
218,6,0,0,0,0,0,0,0,0,0,0,0
219,8,0,1,0,0,0,0,0,0,0,0,0
220,1,0,1,0,0,0,0,0,0,0,0,0
221,3,0,0,0,0,0,0,0,0,0,0,0
222,15,0,0,0,0,0,0,0,0,0,0,0
223,2,0,0,0,0,0,0,0,0,0,0,0
224,3,0,0,0,0,0,0,0,0,0,0,0
226,2,0,0,0,0,0,0,0,0,0,0,0
227,1,0,0,0,0,0,0,0,0,0,0,0
228,15,0,0,0,0,0,0,0,0,0,0,0
239,1,0,0,0,0,0,0,0,0,0,0,0
283,3,0,1,0,0,0,0,0,0,0,0,0
284,16,0,1,0,0,0,0,0,0,0,0,0
285,13,0,11,3,0,0,0,0,0,0,0,0
286,2,0,1,0,0,0,0,0,0,0,0,0
288,3,0,0,0,0,0,0,0,0,0,0,0
289,11,0,1,0,0,0,0,0,0,0,0,0
290,7,0,2,0,0,0,0,0,0,0,0,0
291,4,0,0,0,0,0,0,0,2,0,0,0
292,5,0,2,0,0,0,0,0,0,0,0,0
293,5,0,0,0,0,0,0,0,0,0,0,0
294,1,0,0,0,0,0,0,0,2,0,0,0
295,1,0,0,0,0,0,0,0,0,0,0,0
296,1,0,0,0,0,0,0,0,0,0,0,0
297,9,0,3,0,0,0,0,0,0,0,0,0
298,12,0,33,0,0,0,0,0,0,0,0,0
299,53,0,15,0,0,0,0,0,0,0,0,0
300,7,0,11,0,0,0,0,0,1,0,0,0
301,2,0,17,0,0,0,0,0,0,0,0,0
302,8,0,0,0,0,0,0,0,0,0,0,0
303,13,0,4,0,0,0,0,0,0,0,0,0
304,10,0,1,0,0,0,0,0,0,0,0,0
305,1,0,0,0,0,0,0,0,1,0,0,0
307,1,0,0,0,0,0,0,0,0,0,0,0
308,1,0,0,0,0,0,0,0,0,0,0,0
309,2,0,1,0,0,0,0,0,0,0,0,0
310,22,0,0,0,0,0,0,0,0,0,0,0
352,2,0,0,0,0,0,0,0,0,0,0,0
353,6,0,9,0,0,0,0,0,0,0,0,0
354,6,0,3,0,0,0,0,0,0,0,0,0
355,1,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,5,0,0,0
357,12,0,0,0,0,0,0,0,0,0,0,0
358,6,0,0,0,0,0,0,0,2,0,0,0
359,2,0,0,0,0,0,0,0,1,0,0,0
360,1,0,0,0,0,0,0,0,0,0,0,0
361,5,0,0,0,0,0,0,0,2,0,0,0
362,4,0,0,0,0,0,0,0,1,0,0,0
363,14,0,0,0,0,0,0,0,0,0,0,0
364,8,0,0,0,0,0,0,0,2,0,0,0
365,4,0,0,0,0,0,0,0,0,0,0,0
366,4,0,0,0,0,0,0,0,0,0,0,0
367,3,0,0,0,0,0,0,0,0,0,0,0
368,1,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,1,0,0,0
370,3,0,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,1,0,0,0
373,3,0,0,0,0,0,0,0,0,0,0,0
375,3,0,0,0,0,0,0,0,0,0,0,0
377,0,0,2,0,0,0,0,0,0,0,0,0
378,1,2,0,0,0,0,0,0,0,0,0,0
379,4,1,0,0,0,0,0,0,0,0,0,0
380,11,0,0,0,0,0,0,0,0,0,0,0
381,1,0,0,0,0,0,0,0,0,0,0,0
382,1,0,0,0,0,0,0,0,0,0,0,0
383,10,0,0,0,0,0,0,0,0,0,0,0
418,0,0,0,1,0,0,0,0,0,0,0,0
421,8,0,0,0,0,0,0,0,0,0,0,0
422,0,0,1,0,0,0,0,0,1,0,0,0
423,0,0,0,0,0,0,0,0,2,0,0,0
424,0,0,0,0,0,0,0,0,1,0,0,0
425,3,0,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,3,0,0,0
427,4,0,0,0,0,0,0,0,1,0,0,0
428,5,0,0,0,0,0,0,0,0,0,0,0
429,3,0,1,0,0,0,0,0,0,0,0,0
430,1,0,0,0,0,0,0,0,0,0,0,0
431,31,0,0,0,0,0,0,0,0,0,0,0
432,4,0,0,0,1,0,0,0,0,0,0,0
433,12,0,0,0,0,0,0,0,0,0,0,0
