"lon","lat","cell_ID","MeanPrecip","DryPrecip","WetPrecip","SeasonalPrecip","Elevation","NDVI","MeanTemp","MaxTemp","MinTemp","DiurnalTemp","biome","bioregion","veg_type"
19.625,-34.625,83,562,80,212,39.1300201416016,196,0.718500018119812,15.8999996185303,25.1000003814697,7.69999980926514,9.28333282470703,"Fynbos","Southwest Fynbos Bioregion","Overberg Sandstone Fynbos"
19.875,-34.625,84,486,73,180,37.6046829223633,19,0.619499981403351,17.2458343505859,26.7000007629395,9.19999980926514,9.34166717529297,"Fynbos","South Coast Fynbos Bioregion","Agulhas Sand Fynbos"
20.125,-34.625,85,457,72,162,35.0560760498047,12,0.480399996042252,17.4375,27.1000003814697,9,9.72500038146973,"Fynbos","East Coast Renosterveld Bioregion","Central Ruens Shale Renosterveld"
19.125,-34.375,149,642,67,277,53.2052574157715,16,0.68529999256134,16.529167175293,24.1000003814697,9,8.19166660308838,"Fynbos","South Strandveld Bioregion","Overberg Dune Strandveld"
19.375,-34.375,150,722,96,286,43.9836082458496,772,0.605300009250641,13.9916667938232,23.2999992370605,5.59999990463257,9.41666698455811,"Fynbos","Southwest Fynbos Bioregion","Overberg Sandstone Fynbos"
19.625,-34.375,151,560,76,217,41.9802856445312,102,0.299499988555908,16.5750007629395,26.5,7.5,9.91666698455811,"Fynbos","East Coast Renosterveld Bioregion","Western Ruens Shale Renosterveld"
19.875,-34.375,152,495,79,178,34.3454856872559,155,0.294800013303757,16.904167175293,28.1000003814697,7.09999990463257,11.1083335876465,"Fynbos","East Coast Renosterveld Bioregion","Central Ruens Shale Renosterveld"
20.375,-34.375,154,429,76,142,28.0663299560547,71,0.344199985265732,17.7749996185303,27.8999996185303,8.10000038146973,10.3333339691162,"Fynbos","East Coast Renosterveld Bioregion","Eastern Ruens Shale Renosterveld"
20.625,-34.375,155,425,76,134,25.1527061462402,112,0.606800019741058,17.375,26.7999992370605,7.80000019073486,10.0666666030884,"Fynbos","Southwest Fynbos Bioregion","Potberg Sandstone Fynbos"
20.875,-34.375,156,421,76,127,23.5886707305908,38,0.616999983787537,17.6083335876465,27.3999996185303,7.69999980926514,10.3166666030884,"Fynbos","South Strandveld Bioregion","Southwestern Strandveld"
21.125,-34.375,157,437,82,127,21.6061725616455,83,0,17.1875,25.7999992370605,7.90000009536743,9.64166641235352,"Albany Thicket","Albany Thicket","Hartenbos Dune Thicket"
21.375,-34.375,158,459,92,128,18.9454555511475,100,0.673699975013733,17.220832824707,26.7999992370605,7.5,10.8083333969116,"Albany Thicket","Albany Thicket","Hartenbos Dune Thicket"
18.375,-34.125,214,538,47,260,68.7301559448242,13,0.531700015068054,16.7041664123535,24.2000007629395,9.60000038146973,7.64166641235352,"Fynbos","Southwest Fynbos Bioregion","Hangklip Sand Fynbos"
18.875,-34.125,216,695,63,321,61.3533020019531,32,0.684599995613098,17.220832824707,27.1000003814697,7.90000009536743,9.90833377838135,"Fynbos","Southwest Fynbos Bioregion","Lourensford Alluvium Fynbos"
19.125,-34.125,217,746,96,304,46.6796836853027,901,0.600000023841858,13.1166667938232,23.5,4.09999990463257,10.5166664123535,"Fynbos","Southwest Fynbos Bioregion","Kogelberg Sandstone Fynbos"
19.375,-34.125,218,723,86,299,49.1432037353516,459,0.497099995613098,15.6791667938232,27.2999992370605,5.59999990463257,11.6583337783813,"Fynbos","Southwest Fynbos Bioregion","Greyton Shale Fynbos"
19.625,-34.125,219,589,81,228,41.8692054748535,300,0.673600018024445,16.4125003814697,28.2999992370605,5.80000019073486,12.0249996185303,"Fynbos","East Coast Renosterveld Bioregion","Central Ruens Shale Renosterveld"
19.875,-34.125,220,485,74,174,34.3079414367676,326,0.683600008487701,16.7333335876465,27.2999992370605,6.5,10.6000003814697,"Fynbos","Southwest Fynbos Bioregion","South Sonderend Sandstone Fynbos"
20.125,-34.125,221,425,72,147,30.5659656524658,165,0.506399989128113,18.0208339691162,30,6.80000019073486,12.0083332061768,"Fynbos","East Coast Renosterveld Bioregion","Central Ruens Shale Renosterveld"
20.375,-34.125,222,395,70,129,27.2977695465088,146,0.423500001430511,18.4166660308838,30.5,7.09999990463257,12.1999998092651,"Fynbos","East Coast Renosterveld Bioregion","Eastern Ruens Shale Renosterveld"
20.625,-34.125,223,398,77,121,21.3927478790283,191,0.689599990844727,18.1041660308838,30.2000007629395,6.90000009536743,12.2916669845581,"Fynbos","East Coast Renosterveld Bioregion","Eastern Ruens Shale Renosterveld"
20.875,-34.125,224,410,83,118,18.6598815917969,210,0.544099986553192,17.8999996185303,30,6.40000009536743,12.6166667938232,"Fynbos","East Coast Renosterveld Bioregion","Eastern Ruens Shale Renosterveld"
21.375,-34.125,226,437,94,124,17.3750514984131,231,0.562900006771088,17.25,28.5,6.19999980926514,12.216667175293,"Fynbos","Southern Fynbos Bioregion","Swellendam Silcrete Fynbos"
21.625,-34.125,227,422,93,115,15.1825981140137,138,0.576099991798401,17.7291660308838,28.7000007629395,7.09999990463257,12.1750001907349,"Fynbos","East Coast Renosterveld Bioregion","Mossel Bay Shale Renosterveld"
21.875,-34.125,228,434,99,118,13.9492616653442,180,0.606299996376038,17.279167175293,27,7.69999980926514,11.3583335876465,"Fynbos","East Coast Renosterveld Bioregion","Mossel Bay Shale Renosterveld"
24.625,-34.125,239,737,153,228,18.6396732330322,126,0.841899991035461,17.1124992370605,24.8999996185303,9,8.92500019073486,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Tsitsikamma Sandstone Fynbos"
18.625,-33.875,283,636,55,302,65.9709320068359,117,0.648500025272369,17.1208324432373,27.7000007629395,7.59999990463257,10.6583337783813,"Fynbos","West Coast Renosterveld Bioregion","Swartland Shale Renosterveld"
18.875,-33.875,284,773,71,350,60.2627220153809,316,0.634599983692169,16.6083335876465,28.2000007629395,6.5,11.1833333969116,"Fynbos","Southwest Fynbos Bioregion","Boland Granite Fynbos"
19.125,-33.875,285,753,81,328,55.1037788391113,862,0.601700007915497,14.4499998092651,25.6000003814697,4.69999980926514,10.9166669845581,"Fynbos","Southwest Fynbos Bioregion","Hawequas Sandstone Fynbos"
19.375,-33.875,286,694,73,303,54.8708877563477,280,0.272300004959106,16.9958343505859,29.2000007629395,5.80000019073486,12.091667175293,"Fynbos","East Coast Renosterveld Bioregion","Breede Shale Renosterveld"
19.875,-33.875,288,437,60,170,40.4913330078125,170,0.506600022315979,18.0249996185303,30,6.40000009536743,12.3166666030884,"Fynbos","East Coast Renosterveld Bioregion","Breede Alluvium Renosterveld"
20.125,-33.875,289,385,63,136,31.8968410491943,328,0.398699998855591,17.7999992370605,29.7000007629395,6.5,12.1000003814697,"Fynbos","Southwest Fynbos Bioregion","Breede Quartzite Fynbos"
20.375,-33.875,290,350,63,115,25.475435256958,426,0.367700010538101,17.5541667938232,30.1000003814697,5.5,12.7250003814697,"Fynbos","Western Fynbos-Renosterveld Bioregion","Montagu Shale Renosterveld"
20.625,-33.875,291,343,66,102,19.4160118103027,610,0.373199999332428,16.75,29.2999992370605,4.80000019073486,12.9666662216187,"Fynbos","Western Fynbos-Renosterveld Bioregion","Montagu Shale Renosterveld"
20.875,-33.875,292,359,71,101,17.4160480499268,643,0.368600010871887,16.5583324432373,28.3999996185303,5,12.3666667938232,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
21.125,-33.875,293,371,75,103,19.3352565765381,425,0.332100003957748,17.216667175293,29.5,4.90000009536743,13.2333335876465,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
21.375,-33.875,294,369,77,104,19.0461826324463,321,0.241899996995926,17.5,29.7999992370605,5.19999980926514,13.3166666030884,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
21.625,-33.875,295,348,75,95,17.3496417999268,169,0.404700011014938,17.654167175293,29,6.30000019073486,12.375,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
21.875,-33.875,296,385,85,107,15.0007257461548,444,0.454899996519089,16.216667175293,26.6000003814697,5.90000009536743,11.9166669845581,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","North Outeniqua Sandstone Fynbos"
22.125,-33.875,297,469,93,138,16.8017234802246,1027,0.747600018978119,13.8666667938232,24,4,11.75,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","South Outeniqua Sandstone Fynbos"
22.375,-33.875,298,480,99,142,16.2120494842529,656,0.760599970817566,14.8874998092651,24.7000007629395,5.09999990463257,11.1916666030884,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","South Outeniqua Sandstone Fynbos"
22.625,-33.875,299,556,110,174,19.5160655975342,534,0.803399980068207,15.6708335876465,25,6.19999980926514,10.8249998092651,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","South Outeniqua Sandstone Fynbos"
22.875,-33.875,300,611,120,189,17.8333740234375,571,0.674700021743774,15.6583337783813,24.7000007629395,6.40000009536743,10.3333330154419,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","South Outeniqua Sandstone Fynbos"
23.125,-33.875,301,638,127,194,17.0449523925781,453,0.712400019168854,15.4666662216187,24.7000007629395,6.19999980926514,10.2333335876465,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","South Outeniqua Sandstone Fynbos"
23.375,-33.875,302,714,146,219,18.7996921539307,232,0.580600023269653,16.6833324432373,25.7999992370605,7.09999990463257,10.1499996185303,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Tsitsikamma Sandstone Fynbos"
23.625,-33.875,303,655,122,194,17.8836917877197,825,0.71780002117157,14.25,23.6000003814697,4.90000009536743,10.1333332061768,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Tsitsikamma Sandstone Fynbos"
23.875,-33.875,304,650,122,190,17.7241725921631,707,0.597599983215332,13.9125003814697,23.5,4.19999980926514,10.3083333969116,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Tsitsikamma Sandstone Fynbos"
